*EVALUATION : TUDU1501WH                                                              DSSAT Cropping System Model Ver. 4.8.5.000   -release    MAR 01, 2026; 09:34:20

@RUN EXCODE        TN RN CR   ADAPS   ADAPM   PD1PS   PD1PM   PDFPS   PDFPM   MDAPS   MDAPM   HWAMS   HWAMM   PWAMS   PWAMM   H#AMS   H#AMM   HWUMS   HWUMM   H#UMS   H#UMM   CWAMS   CWAMM   BWAMS   BWAMM   LAIXS   LAIXM   HIAMS   HIAMM   THAMS   THAMM   GNAMS   GNAMM   CNAMS   CNAMM   SNAMS   SNAMM   GN%MS   GN%MM   CWAAS   CWAAM   CNAAS   CNAAM   L#SMS   L#SMM   EDAPS   EDAPM
   1 TUDU1501WH     1  1 WH      96  182729     -99     -99     -99     -99     147   35509    5951 37 6135     -99     -99   15668     -99    38.0     -99    39.2     -99   12584     -99       0     -99    3.71     -99   0.473     -99     -99     -99     116     -99     137     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      11     -99
   2 TUDU1501WH     2  1 WH      96   36629     -99     -99     -99     -99     147   35509    5953 37 7361     -99     -99   15679     -99    38.0     -99    39.2     -99   12587     -99       0     -99    3.72     -99   0.473     -99     -99     -99     116     -99     137     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      11     -99
   3 TUDU1501WH     3  1 WH      96   73154     -99     -99     -99     -99     147   35509    3602 37 6322     -99     -99    8118     -99    44.4     -99    20.3     -99    6686     -99       0     -99    1.58     -99   0.539     -99     -99     -99      67     -99      77     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      11     -99
   4 TUDU1501WH     4  1 WH      96  146204     -99     -99     -99     -99     147   35509    5953 37 6934     -99     -99   15646     -99    38.1     -99    39.1     -99   12563     -99       0     -99    3.69     -99   0.474     -99     -99     -99     115     -99     136     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      11     -99
   5 TUDU1501WH     5  1 WH      96     104     -99     -99     -99     -99     147   35509    6268 37 7360     -99     -99   16862     -99    37.2     -99    42.2     -99   13748     -99       0     -99    4.50     -99   0.456     -99     -99     -99     136     -99     160     -99       0     -99     2.2     -99       2     -99      35     -99    0.00     -99      11     -99
   6 TUDU1501WH     6  1 WH      96  219254     -99     -99     -99     -99     147   35509    5879 37 6886     -99     -99   15450     -99    38.0     -99    38.6     -99   12359     -99       0     -99    3.58     -99   0.476     -99     -99     -99     113     -99     134     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      11     -99
   7 TUDU1501WH     7  1 WH      96   36629     -99     -99     -99     -99     147   35509    6269 37 7711     -99     -99   16861     -99    37.2     -99    42.2     -99   13753     -99       0     -99    4.51     -99   0.456     -99     -99     -99     129     -99     153     -99       0     -99     2.1     -99       2     -99      35     -99    0.00     -99      11     -99
   8 TUDU1501WH     8  1 WH      96  255779     -99     -99     -99     -99     147   35509    6418 37 7727     -99     -99   18020     -99    35.6     -99    45.0     -99   14773     -99       0     -99    5.29     -99   0.434     -99     -99     -99     155     -99     182     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      11     -99
   9 TUDU1501WH     9  1 WH      96  292304     -99     -99     -99     -99     147   35509    6411 37 8208     -99     -99   18062     -99    35.5     -99    45.2     -99   14784     -99       0     -99    5.31     -99   0.434     -99     -99     -99     155     -99     182     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      11     -99
  10 TUDU1501WH    10  1 WH      96  328829     -99     -99     -99     -99     147   35509    3602 37 6569     -99     -99    8118     -99    44.4     -99    20.3     -99    6686     -99       0     -99    1.58     -99   0.539     -99     -99     -99      67     -99      77     -99       0     -99     1.9     -99       2     -99      35     -99    0.00     -99      11     -99
  11 TUDU1501WH    11  1 WH      96   73154     -99     -99     -99     -99     147   35509    6418 37 8142     -99     -99   18020     -99    35.6     -99    45.0     -99   14773     -99       0     -99    5.29     -99   0.434     -99     -99     -99     155     -99     182     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      11     -99
  12 TUDU1501WH    12  1 WH      96  219254     -99     -99     -99     -99     147   35509    6415 37 8136     -99     -99   18011     -99    35.6     -99    45.0     -99   14750     -99       0     -99    5.28     -99   0.435     -99     -99     -99     154     -99     181     -99       0     -99     2.4     -99       2     -99      35     -99    0.00     -99      11     -99
  13 TUDU1501WH    13  1 WH      96   73154     -99     -99     -99     -99     147   35509    6327 37 7992     -99     -99   17407     -99    36.3     -99    43.5     -99   14218     -99       0     -99    4.88     -99   0.445     -99     -99     -99     146     -99     171     -99       0     -99     2.3     -99       2     -99      35     -99    0.00     -99      11     -99
  14 TUDU1501WH    14  1 WH      96  255779     -99     -99     -99     -99     147   35509    6232 37 7907     -99     -99   16876     -99    36.9     -99    42.2     -99   13722     -99       0     -99    4.51     -99   0.454     -99     -99     -99     141     -99     165     -99       0     -99     2.3     -99       2     -99      35     -99    0.00     -99      11     -99
  15 TUDU1501WH    15  1 WH      96   73154     -99     -99     -99     -99     147   35509    3601 37 3602     -99     -99    8118     -99    44.4     -99    20.3     -99    6686     -99       0     -99    1.58     -99   0.539     -99     -99     -99      61     -99      71     -99       0     -99     1.7     -99       2     -99      35     -99    0.00     -99      11     -99
