
*SOIL N BALANCE - CENTURY ROUTINES

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  MAR 01, 2026 09:34:20

!                              |--------------- Initial N State Variables ----------------|----------------- Final N State Variables -----------------|------------- N Additions -------------|---------------- N Subtractions -----------------|--Mineralization---|----- Seasonal Balance -----|
!                              |----------------- Organic ----------------------|         |------------------ Organic ----------------------|         |  Harvest   Applied                    |              Tile-     Plant     N gas     Flood|   Miner-    Immob-|                            |
!                              | Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Surface      SOM1      SOM2      SOM3    Litter     Inorg|  Residue   Residue  Fertiliz   Senesed|  Leached   drained    Uptake    Losses    Losses|   alized    ilized|Inorganic   Organic   Overall
@Run FILEX               TN CR     SN0Di    S1NTDi    S2NTDi    S3NTDi     LNTDi     NIADi      SN0D     S1NTD     S2NTD     S3NTD      LNTD      NIAD      HRNH     RESNC      NICM     SNNTC      NLCM      TDFC      NUCM     NGasC      RNRO      NMNC      NIMC    InNBal   OrgNBal     SNBAL
   1 TUDU1501.WHX         1 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16819.95      0.00     58.49    132.61      0.00      0.00    120.00      0.00      5.84      0.00    174.88      0.72      0.00     67.07      2.78      0.00     -0.00     -0.00
   2 TUDU1501.WHX         2 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16820.04      0.00     58.17    132.87      0.00      0.00    120.00      0.00      5.85      0.00    174.94      0.62      0.00     67.31      2.78     -0.00      0.00     -0.00
   3 TUDU1501.WHX         3 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16813.69      0.00     60.07    130.68      0.00      0.00     40.00      0.00     10.54      0.00     95.53      1.97      0.00     71.51      2.54      0.00     -0.00     -0.00
   4 TUDU1501.WHX         4 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16819.95      0.00     58.39    131.45      0.00      0.00    120.00      0.00      5.78      0.00    174.23      2.69      0.00     67.17      2.78      0.00      0.00      0.00
   5 TUDU1501.WHX         5 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16821.29      0.00     54.64    103.82      0.00      0.00    120.00      0.00      4.85      0.00    205.15      2.73      0.00     69.61      2.80      0.00      0.00      0.00
   6 TUDU1501.WHX         6 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16819.79      0.00     58.97    128.64      0.00      0.00    120.00      0.00      5.89      0.00    171.00      8.20      0.00     66.75      2.78      0.00      0.00     -0.00
   7 TUDU1501.WHX         7 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16821.13      0.00     55.21    112.18      0.00      0.00    120.00      0.00      4.84      0.00    196.44      2.68      0.00     69.20      2.81     -0.00     -0.00     -0.00
   8 TUDU1501.WHX         8 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16823.12      0.00     50.13    142.52      0.00      0.00    180.00      0.00      3.57      0.00    231.79      1.35      0.00     72.30      2.81     -0.00     -0.00     -0.00
   9 TUDU1501.WHX         9 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16823.28      0.00     49.70    142.71      0.00      0.00    180.00      0.00      3.60      0.00    232.01      1.18      0.00     72.57      2.82      0.00     -0.00     -0.00
  10 TUDU1501.WHX        10 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16813.69      0.00     60.08    150.33      0.00      0.00     60.00      0.00     10.54      0.00     95.80      2.05      0.00     71.50      2.54     -0.00     -0.00     -0.00
  11 TUDU1501.WHX        11 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16823.12      0.00     50.13    142.52      0.00      0.00    180.00      0.00      3.57      0.00    231.79      1.35      0.00     72.30      2.81     -0.00     -0.00     -0.00
  12 TUDU1501.WHX        12 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16823.18      0.00     49.90    141.37      0.00      0.00    180.00      0.00      3.63      0.00    230.89      3.52      0.00     72.47      2.81     -0.00      0.00     -0.00
  13 TUDU1501.WHX        13 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16822.08      0.00     53.08    139.26      0.00      0.00    180.00      0.00      4.33      0.00    218.85     14.88      0.00     70.38      2.82      0.00     -0.00     -0.00
  14 TUDU1501.WHX        14 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16821.65      0.00     53.83    159.07      0.00      0.00    180.00      0.00      4.84      0.00    210.02      3.08      0.00     70.07      2.81     -0.00      0.00     -0.00
  15 TUDU1501.WHX        15 WH      0.00      0.00  16850.93      0.00     91.80    129.75      0.00      0.00  16813.35      0.00     61.17     98.45      0.00      0.00      0.00      0.00     10.54      0.00     88.75      0.23      0.00     70.75      2.54      0.00     -0.00     -0.00
