*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  MAR 01, 2026 09:34:20

*RUN   1        : 1                         WHAPS048 TUDU1501    1
 MODEL          : WHAPS048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         WHAPS048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                                    NH4 (ppm) at soil dep. (cm):                                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210     0-5    5-15   15-20   20-30   30-40   40-50   50-60   60-70   70-90  90-210
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NI10    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NH10    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    NT10    
   15 076     0     0     0   129.8   116.8    13.0     0.0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.87     3.9     3.9    3.87    3.87    3.87    3.87    3.87    3.87    3.87    0.43    0.43    0.43    0.43    0.43    0.43    0.43    0.43    0.43    0.43    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30    4.30
   15 077     1     0     0   129.7   118.4    11.2     0.0    0.15    1.64    0.00    0.24    0.00   -0.09    0.00    0.00    0.00    3.92     3.9     3.9    3.92    3.92    3.92    3.92    3.92    3.92    3.92    0.25    0.26    0.39    0.38    0.38    0.38    0.38    0.38    0.38    0.38    4.17    4.18    4.31    4.31    4.31    4.31    4.31    4.31    4.30    4.30
   15 078     2     0     0   129.6   119.8     9.8     0.0    0.28    3.01    0.00    0.44    0.00   -0.16    0.00    0.00    0.00    4.01     3.9     4.0    3.96    3.96    3.97    3.97    3.97    3.97    3.97    0.12    0.13    0.35    0.35    0.35    0.34    0.34    0.34    0.34    0.34    4.13    4.07    4.31    4.31    4.31    4.31    4.31    4.31    4.31    4.31
   15 079     3     0     0   129.6   120.9     8.6     0.0    0.39    4.15    0.00    0.58    0.00   -0.19    0.00    0.00    0.00    4.09     3.9     4.0    4.00    4.00    4.00    4.00    4.01    4.01    4.01    0.03    0.05    0.32    0.31    0.31    0.31    0.31    0.31    0.30    0.30    4.12    3.97    4.31    4.31    4.31    4.31    4.31    4.31    4.31    4.31
   15 080     4     0     0   129.5   121.8     7.7     0.0    0.48    5.08    0.00    0.67    0.00   -0.20    0.00    0.00    0.00    4.08     3.9     4.0    4.02    4.03    4.03    4.03    4.04    4.04    4.04    0.00    0.00    0.29    0.29    0.28    0.28    0.28    0.28    0.27    0.27    4.08    3.93    4.30    4.31    4.32    4.31    4.32    4.32    4.31    4.31
   15 081     5     0     0   129.5   122.5     7.0     0.0    0.54    5.86    0.00    0.74    0.00   -0.20    0.00    0.00    0.00    4.09     3.9     4.0    4.05    4.05    4.06    4.06    4.06    4.07    4.07    0.00    0.00    0.27    0.26    0.26    0.26    0.26    0.25    0.25    0.25    4.09    3.89    4.30    4.31    4.32    4.31    4.32    4.32    4.31    4.32
   15 082     6     0     0   129.5   123.2     6.4     0.0    0.56    6.52    0.00    0.75    0.00   -0.19    0.00    0.00    0.00    4.13     3.9     4.0    4.06    4.07    4.08    4.08    4.09    4.09    4.09    0.00    0.00    0.25    0.24    0.24    0.24    0.23    0.23    0.23    0.22    4.13    3.87    4.29    4.31    4.31    4.31    4.32    4.32    4.32    4.32
   15 083     7     0     0   129.6   123.8     5.8     0.0    0.57    7.09    0.00    0.75    0.00   -0.18    0.00    0.00    0.00    4.20     3.9     4.1    4.08    4.09    4.10    4.10    4.10    4.11    4.11    0.00    0.00    0.23    0.22    0.22    0.22    0.22    0.21    0.21    0.20    4.20    3.85    4.29    4.30    4.31    4.31    4.32    4.32    4.31    4.32
   15 084     8     0     0   129.6   124.3     5.3     0.0    0.58    7.61    0.00    0.75    0.00   -0.17    0.00    0.00    0.00    4.27     3.8     4.1    4.09    4.11    4.11    4.12    4.12    4.12    4.13    0.00    0.00    0.21    0.21    0.20    0.20    0.20    0.20    0.19    0.19    4.27    3.83    4.28    4.30    4.31    4.31    4.31    4.32    4.31    4.32
   15 085     9     0     0   129.6   124.7     4.8     0.0    0.60    8.10    0.00    0.76    0.00   -0.16    0.00    0.00    0.00    4.33     3.8     4.1    4.11    4.12    4.13    4.13    4.14    4.14    4.15    0.00    0.00    0.20    0.19    0.19    0.18    0.18    0.18    0.17    0.17    4.33    3.81    4.27    4.30    4.31    4.31    4.31    4.32    4.31    4.32
