*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  MAR 01, 2026 09:34:40
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
   1 TUDU1701.WHX         1 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309782.62        0.00     1426.53        0.00      0.00      0.00      0.00   2896.48      0.00      0.00      0.00      0.0437
   2 TUDU1701.WHX         2 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309784.34        0.00     1427.18        0.00      0.00      0.00      0.00   2894.09      0.00      0.00      0.00      0.0235
   3 TUDU1701.WHX         3 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309610.09        0.00     1463.61        0.00      0.00      0.00      0.00   3031.90      0.00      0.00      0.00      0.0264
   4 TUDU1701.WHX         4 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309784.12        0.00     1424.29        0.00      0.00      0.00      0.00   2897.19      0.00      0.00      0.00      0.0034
   5 TUDU1701.WHX         5 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309801.12        0.00     1485.09        0.00      0.00      0.00      0.00   2819.34      0.00      0.00      0.00     -0.0338
   6 TUDU1701.WHX         6 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309782.91        0.00     1428.85        0.00      0.00      0.00      0.00   2893.86      0.00      0.00      0.00      0.0203
   7 TUDU1701.WHX         7 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309794.44        0.00     1519.10        0.00      0.00      0.00      0.00   2792.07      0.00      0.00      0.00      0.0057
   8 TUDU1701.WHX         8 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309810.09        0.00     1501.15        0.00      0.00      0.00      0.00   2794.33      0.00      0.00      0.00     -0.0123
   9 TUDU1701.WHX         9 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309809.78        0.00     1503.78        0.00      0.00      0.00      0.00   2791.99      0.00      0.00      0.00     -0.0400
  10 TUDU1701.WHX        10 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309611.09        0.00     1459.37        0.00      0.00      0.00      0.00   3035.10      0.00      0.00      0.00     -0.0296
  11 TUDU1701.WHX        11 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309810.09        0.00     1501.15        0.00      0.00      0.00      0.00   2794.34      0.00      0.00      0.00     -0.0082
  12 TUDU1701.WHX        12 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309809.28        0.00     1505.65        0.00      0.00      0.00      0.00   2790.71      0.00      0.00      0.00      0.0502
  13 TUDU1701.WHX        13 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309809.12        0.00     1506.04        0.00      0.00      0.00      0.00   2790.40      0.00      0.00      0.00     -0.0400
  14 TUDU1701.WHX        14 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309818.75        0.00     1413.41        0.00      0.00      0.00      0.00   2873.45      0.00      0.00      0.00      0.0096
  15 TUDU1701.WHX        15 WH        0.00   310025.59        0.00     4080.00        0.00        0.00   309567.84        0.00     1656.33        0.00      0.00      0.00      0.00   2881.45      0.00      0.00      0.00      0.0391
