"experiment_id","experiment_year","fertilizer_level","fertilization_date","fertilizer_material","fertilizer_total_amount","N_in_applied_fertilizer","phosphorus_applied_fert","fertilizer_K_applied","Mg_in_applied_fertilizer","Ca_in_applied_fertilizer","S_in_applied_fertilizer","B_in_applied_fertilizer","Zn_in_applied_fertilizer","Mn_in_applied_fertilizer","Fe_in_applied_fertilizer","fertilizer_applic_method","fertiliz_applic_comment"
"LTFE_Duernast",2015,12801,"2015-04-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12802,"2015-04-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12803,"2015-04-08","FE005",87,40,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12804,"2015-04-08","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12805,"2015-04-08","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12806,"2015-04-08","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12807,"2015-04-08","FE900",307.7,80,0,0,0,0,40,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12808,"2015-04-08","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12809,"2015-04-08","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12810,"2015-04-08","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12811,"2015-04-08","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12812,"2015-04-08","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12813,"2015-04-08","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA,"Ammonium-Nitrat-Harnstoff-Lösung (Harnstoff-Dünger; flüssig; nicht stabilisiert); AHL (oder auch UAN = Urea Ammonium Nitrate) ist eine farblose flüssige Mischung aus Ammoniumnitrat, Harnstoff und Wasser.; AHL mit 28 Gewichtsprozenten Stickstoff (N) setzt sich zusammen aus 7 % Nitratstickstoff, 7 % Ammoniumstickstoff und 14 % Amidstickstoff (aus dem Harnstoff)."
"LTFE_Duernast",2015,12814,"2015-04-08","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA,"Ammonium-Nitrat-Harnstoff-Lösung (Harnstoff-Dünger; flüssig; nicht stabilisiert); AHL (oder auch UAN = Urea Ammonium Nitrate) ist eine farblose flüssige Mischung aus Ammoniumnitrat, Harnstoff und Wasser.; AHL mit 28 Gewichtsprozenten Stickstoff (N) setzt sich zusammen aus 7 % Nitratstickstoff, 7 % Ammoniumstickstoff und 14 % Amidstickstoff (aus dem Harnstoff)."
"LTFE_Duernast",2015,12815,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12816,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12817,"2015-04-08","FE005",87,40,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12818,"2015-04-08","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12819,"2015-04-08","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12820,"2015-04-08","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12821,"2015-04-08","FE900",307.7,80,0,0,0,0,40,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12822,"2015-04-08","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12823,"2015-04-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12824,"2015-04-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12825,"2015-04-08","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12826,"2015-04-08","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12827,"2015-04-08","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA,"Ammonium-Nitrat-Harnstoff-Lösung (Harnstoff-Dünger; flüssig; nicht stabilisiert); AHL (oder auch UAN = Urea Ammonium Nitrate) ist eine farblose flüssige Mischung aus Ammoniumnitrat, Harnstoff und Wasser.; AHL mit 28 Gewichtsprozenten Stickstoff (N) setzt sich zusammen aus 7 % Nitratstickstoff, 7 % Ammoniumstickstoff und 14 % Amidstickstoff (aus dem Harnstoff)."
"LTFE_Duernast",2015,12828,"2015-04-08","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA,"Ammonium-Nitrat-Harnstoff-Lösung (Harnstoff-Dünger; flüssig; nicht stabilisiert); AHL (oder auch UAN = Urea Ammonium Nitrate) ist eine farblose flüssige Mischung aus Ammoniumnitrat, Harnstoff und Wasser.; AHL mit 28 Gewichtsprozenten Stickstoff (N) setzt sich zusammen aus 7 % Nitratstickstoff, 7 % Ammoniumstickstoff und 14 % Amidstickstoff (aus dem Harnstoff)."
"LTFE_Duernast",2015,12829,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12830,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12831,"2015-04-08","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12832,"2015-04-08","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12833,"2015-04-08","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12834,"2015-04-08","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12835,"2015-04-08","FE900",307.7,80,0,0,0,0,40,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12836,"2015-04-08","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12837,"2015-04-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12838,"2015-04-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12839,"2015-04-08","FE005",87,40,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12840,"2015-04-08","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12841,"2015-04-08","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA,"Ammonium-Nitrat-Harnstoff-Lösung (Harnstoff-Dünger; flüssig; nicht stabilisiert); AHL (oder auch UAN = Urea Ammonium Nitrate) ist eine farblose flüssige Mischung aus Ammoniumnitrat, Harnstoff und Wasser.; AHL mit 28 Gewichtsprozenten Stickstoff (N) setzt sich zusammen aus 7 % Nitratstickstoff, 7 % Ammoniumstickstoff und 14 % Amidstickstoff (aus dem Harnstoff)."
"LTFE_Duernast",2015,12842,"2015-04-08","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA,"Ammonium-Nitrat-Harnstoff-Lösung (Harnstoff-Dünger; flüssig; nicht stabilisiert); AHL (oder auch UAN = Urea Ammonium Nitrate) ist eine farblose flüssige Mischung aus Ammoniumnitrat, Harnstoff und Wasser.; AHL mit 28 Gewichtsprozenten Stickstoff (N) setzt sich zusammen aus 7 % Nitratstickstoff, 7 % Ammoniumstickstoff und 14 % Amidstickstoff (aus dem Harnstoff)."
"LTFE_Duernast",2015,12843,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12844,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12845,"2015-04-08","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12846,"2015-04-08","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12847,"2015-04-08","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12848,"2015-04-08","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12849,"2015-04-08","FE900",307.7,80,0,0,0,0,40,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12850,"2015-04-08","FE900",461.5,120,0,0,0,0,60,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12851,"2015-04-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12852,"2015-04-08",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12853,"2015-04-08","FE005",87,40,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12854,"2015-04-08","FE005",173.9,80,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12855,"2015-04-08","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12856,"2015-04-08","FE060",307.7,80,0,0,0,0,40,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12857,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12858,"2015-04-08","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12859,"2015-04-08","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12860,"2015-04-08","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12861,"2015-04-08","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12862,"2015-04-08","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12863,"2015-04-08","FE010",133.3,40,0,0,0,0,0,0,0,0,0,NA,"Ammonium-Nitrat-Harnstoff-Lösung (Harnstoff-Dünger; flüssig; nicht stabilisiert); AHL (oder auch UAN = Urea Ammonium Nitrate) ist eine farblose flüssige Mischung aus Ammoniumnitrat, Harnstoff und Wasser.; AHL mit 28 Gewichtsprozenten Stickstoff (N) setzt sich zusammen aus 7 % Nitratstickstoff, 7 % Ammoniumstickstoff und 14 % Amidstickstoff (aus dem Harnstoff)."
"LTFE_Duernast",2015,12864,"2015-04-08","FE010",266.7,80,0,0,0,0,0,0,0,0,0,NA,"Ammonium-Nitrat-Harnstoff-Lösung (Harnstoff-Dünger; flüssig; nicht stabilisiert); AHL (oder auch UAN = Urea Ammonium Nitrate) ist eine farblose flüssige Mischung aus Ammoniumnitrat, Harnstoff und Wasser.; AHL mit 28 Gewichtsprozenten Stickstoff (N) setzt sich zusammen aus 7 % Nitratstickstoff, 7 % Ammoniumstickstoff und 14 % Amidstickstoff (aus dem Harnstoff)."
"LTFE_Duernast",2015,12865,"2015-06-01",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12866,"2015-06-01",NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12867,"2015-06-01","FE005",87,40,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12868,"2015-06-01","FE005",130.4,60,0,0,0,0,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12869,"2015-06-01","FE060",153.8,40,0,0,0,0,20,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12870,"2015-06-01","FE060",230.8,60,0,0,0,0,30,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12871,"2015-06-01","FE900",0,0,0,0,0,0,0,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12872,"2015-06-01","FE900",0,0,0,0,0,0,0,0,0,0,0,NA,"ENTEC® 26 (+13S); 26% Gesamtstickstoff; 7,5% NO3-Nitratstickstoff; 18,5% NH4-Ammoniumstickstoff; 13% S Gesamt-Schwefel; 32,5% SO3 Schwefeltrioxid; 0,18% DMPP; ENTEC® 26 enthält Nitrat- und Ammoniumstickstoff und zusätzlich den Nitrifikationsinhibitor DMPP"
"LTFE_Duernast",2015,12873,"2015-06-01","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12874,"2015-06-01","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12875,"2015-06-01","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA,NA
"LTFE_Duernast",2015,12876,"2015-06-01","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA,NA
